CookerStat, GenerateAssetRegistry=0.019792, Initialize=0.108868, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
DDCTransactionId88A7A2664C8378D5E7BF85B8317A45CE_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AA9F8BDE45C8E367C84E1C841BB5B7D6__1_0_13123_0, StartTime=2016.04.06-17.08.42, HierarchicalDDC=, DataSize=458, Duration=1.415651, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
DDCTransactionId28085E4446C7922F8BA2DAA179BAE744_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_649171C74C807B0BD861B19F74A7D89A__1_0_13123_0, StartTime=2016.04.06-17.08.42, HierarchicalDDC=, DataSize=458, Duration=1.352605, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
DDCTransactionIdCC31D44F4402778AC4A28289C67C3008_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4E8AF1C047A7A42908487EBFB2FB6864__1_0_13123_0, StartTime=2016.04.06-17.08.42, HierarchicalDDC=, DataSize=423, Duration=3.422562, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
DDCTransactionId88A7A2664C8378D5E7BF85B8317A45CE_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A9F3067F4490B53641A749A4FDCF5D1F__1_0_13123_0, StartTime=2016.04.06-17.08.42, HierarchicalDDC=, DataSize=442, Duration=3.311496, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
DDCTransactionId28085E4446C7922F8BA2DAA179BAE744_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2F7F5C2A446218BFEA9DA98682EFEE84__1_0_13123_0, StartTime=2016.04.06-17.08.42, HierarchicalDDC=, DataSize=468, Duration=3.121249, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
DDCTransactionIdCC31D44F4402778AC4A28289C67C3008_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_112959E84198301485A60CB00C6697AA__1_0_13123_0, StartTime=2016.04.06-17.08.42, HierarchicalDDC=, DataSize=347, Duration=1.452308, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
DDCTransactionId88A7A2664C8378D5E7BF85B8317A45CE_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_866F39344EB3542C465B59B1D5E5DFE6__1_0_13123_0, StartTime=2016.04.06-17.08.42, HierarchicalDDC=, DataSize=449, Duration=1.772679, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
DDCTransactionId28085E4446C7922F8BA2DAA179BAE744_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7063A9924DE314D17301AAB6B2C2F721__1_0_13123_0, StartTime=2016.04.06-17.08.42, HierarchicalDDC=, DataSize=385, Duration=1.491897, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
SavePackageTransactionId143E3BF4466E4B131BF9E395260835F9_0, Filename=D:/Cody/KnightParty Perfect/Content/KnightGame/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=0.589427, FlushAsyncLoading=0.004768, FlushStreamingFunc=0.072211, BlockTillAllRequestsFinished=0.015762, ResetLoadersForSaveUnMarkAllObjects=38.886436, TagPackageExports=1.322176, BeginCacheForCookedPlatformData=0.002567, SerializeImports=1.851123, GatherLocalizableTextData=17.303064, MarkNames=0.078078, SerializeSummary=0.018694, SerializeNames=0.477258, SerializeGatherableTextData=0.024196, BuildExportMap=0.288114, SortExportsNonSeekfree=0.343833, SortExportsSeekfreeConstructor=0.077710, SortExportsSeekfreeInner=13.787393, SortExportsSeekfree=0.005867, BuildDependencyMap=0.087239, SerializeImportMap=0.049852, SerializeExportMap=0.037756, SerializeDependencyMap=0.006966, SerializeStringAssetReferenceMap=0.001833, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.240071, SerializeExports=6.772548, SerializeBulkData=1.661245, MoveFile=500.580994, UnaccountedTime=2.218049, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
SavePackageTransactionId143E3BF4466E4B131BF9E395260835F9_1, Filename=D:/Cody/KnightParty Perfect/Content/KnightGame/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=0.559367, FlushAsyncLoading=0.003301, FlushStreamingFunc=0.050951, BlockTillAllRequestsFinished=0.004400, ResetLoadersForSaveUnMarkAllObjects=36.444420, TagPackageExports=1.146596, BeginCacheForCookedPlatformData=0.001833, SerializeImports=1.653183, GatherLocalizableTextData=11.592802, MarkNames=0.083208, SerializeSummary=0.018328, SerializeNames=0.466999, SerializeGatherableTextData=0.026390, BuildExportMap=0.301313, SortExportsNonSeekfree=0.323672, SortExportsSeekfreeConstructor=0.060115, SortExportsSeekfreeInner=13.652864, SortExportsSeekfree=0.004400, BuildDependencyMap=0.085775, SerializeImportMap=0.043619, SerializeExportMap=0.031158, SerializeDependencyMap=0.006963, SerializeStringAssetReferenceMap=0.001468, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.874978, SerializeExports=3.862433, SerializeBulkData=1.384128, MoveFile=500.884888, UnaccountedTime=1.481265, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
SavePackageTransactionId143E3BF4466E4B131BF9E395260835F9_2, Filename=D:/Cody/KnightParty Perfect/Content/KnightGame/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=0.634518, FlushAsyncLoading=0.005495, FlushStreamingFunc=0.077344, BlockTillAllRequestsFinished=0.006966, ResetLoadersForSaveUnMarkAllObjects=40.559780, TagPackageExports=1.276724, BeginCacheForCookedPlatformData=0.002936, SerializeImports=1.722459, GatherLocalizableTextData=9.185244, MarkNames=0.072945, SerializeSummary=0.017963, SerializeNames=0.427041, SerializeGatherableTextData=0.027124, BuildExportMap=0.297278, SortExportsNonSeekfree=0.331003, SortExportsSeekfreeConstructor=0.059016, SortExportsSeekfreeInner=15.601862, SortExportsSeekfree=0.004400, BuildDependencyMap=0.102270, SerializeImportMap=0.032991, SerializeExportMap=0.030790, SerializeDependencyMap=0.006601, SerializeStringAssetReferenceMap=0.001464, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.847120, SerializeExports=3.989264, SerializeBulkData=1.345638, MoveFile=500.465881, UnaccountedTime=1.050927, RunGuid=RunIDB2195F5B4E247D8BC767A0990C6CA426
